id,ticket_id,subject,body,category
211,TCK-3246,Sync issue between mobile and desktop,"I keep getting a 500 internal server error whenever I try to save changes in the customer portal. This happens consistently, even after restarting the app.",Technical
212,TCK-3041,Subscription renewed but I cancelled it,"Hi, this is Raj. Hi team, I noticed I was charged $103.40 on my February invoice, which is more than my usual plan cost. Can you please check and correct this?",Billing
213,TCK-3192,API returning timeout errors,"Hi, this is Layla. The integration between the payment gateway and our third-party analytics tool stopped working after the recent update; no data is being pulled through.",Technical
214,TCK-3009,Downgrade my plan and adjust billing,"Hi, this is Aisha. The currency conversion on my latest invoice looks off; it shows $140.16 instead of the expected amount in USD. Please check.",Billing
215,TCK-3255,Two-factor authentication not working,"I'm unable to connect to the server from my office network, though it works fine on my home wifi. Getting a connection refused error.",Technical
216,TCK-3374,Parental leave policy clarification,Could you please send me a copy of my original offer letter? I need it for a visa application.,HR
217,TCK-3254,Cannot connect to the server,Two-factor authentication codes aren't being accepted even though I'm entering them correctly and quickly. This is blocking me from logging in.,Technical
218,TCK-3178,the mobile app v3.2 crashes on login,The integration between the billing portal and our third-party analytics tool stopped working after the recent update; no data is being pulled through.,Technical
219,TCK-3293,Issue with attendance records,Could someone explain how the year-end bonus is calculated? I want to understand the formula used based on performance ratings.,HR
220,TCK-3136,Notifications not showing up,"Whenever I try to export my report to CSV in the customer portal, the download fails and I get a generic error message.",Technical
221,TCK-3132,Tax amount seems wrong on invoice #85718,The tax charged on invoice #71186 seems higher than usual. Can someone from billing confirm the tax rate applied?,Billing
222,TCK-3181,Login loop after entering credentials,"I'm unable to connect to the server from my office network, though it works fine on my home wifi. Getting a connection refused error.",Technical
223,TCK-3034,Invoice #24168 shows wrong amount,"Hi, this is Kevin. My company name is spelled incorrectly on invoice #61990. Could you reissue it with the correct name for our records?",Billing
224,TCK-3118,Subscription renewed but I cancelled it,"Hi, this is Anna. I tried updating my card details in the CRM tool but it keeps failing with an error. Can someone assist me in updating my payment method?",Billing
225,TCK-3470,Suggestion for a new feature,I'd like to suggest a new feature for the desktop client that would let users export data in bulk; it would save a lot of time.,General
226,TCK-3125,Billed twice this month,"Hi team, I noticed I was charged $454.99 on my June invoice, which is more than my usual plan cost. Can you please check and correct this?",Billing
227,TCK-3527,Inquiry about your privacy policy,"Hi, this is Priya. I have some questions about pricing plans and would like to speak with someone from the sales team. How can I get in touch?",General
228,TCK-3130,Credit card declined but money was deducted,The currency conversion on my latest invoice looks off; it shows $78.40 instead of the expected amount in USD. Please check.,Billing
229,TCK-3037,Invoice #70931 shows wrong amount,My card shows a deduction of $142.41 but the payment status in the billing portal still says declined. Please investigate and confirm whether the payment went through.,Billing
230,TCK-3290,Request for employment verification letter,I joined the company last week but still haven't received my onboarding documents. Could someone resend them to my email?,HR
231,TCK-3261,Unable to reset my password,"Hi, this is Aisha. I keep getting a 500 internal server error whenever I try to save changes in the reporting module. This happens consistently, even after restarting the app.",Technical
232,TCK-3496,Media inquiry for an interview,I wanted to share some feedback about my recent experience with your team; overall it was positive but there is room for improvement in response time.,General
233,TCK-3188,Sync issue between mobile and desktop,Our integration is receiving timeout errors from the API for requests taking longer than 30 seconds. This started around February 19.,Technical
234,TCK-3378,Issue with reimbursement claim,"I'd like to request a change to my reporting manager on file, since my team structure changed last month.",HR
235,TCK-3380,Issue with attendance records,"Hi, this is Noah. Could you clarify the current remote work policy? I want to confirm how many days per week I'm allowed to work from home.",HR
236,TCK-3113,Tax amount seems wrong on invoice #27486,I have not received an invoice for June yet. Could you please send it to my registered email as soon as possible?,Billing
237,TCK-3109,Credit card declined but money was deducted,"Hi, this is Yusuf. I have not received an invoice for October yet. Could you please send it to my registered email as soon as possible?",Billing
238,TCK-3163,Getting error 500 when saving changes,Data I enter on the mobile app isn't syncing with the desktop version of the API. Changes made on one device don't appear on the other.,Technical
239,TCK-3128,Refund request for duplicate payment,"Hi, this is Chloe. I was charged twice for the same subscription on January 27. Please refund the duplicate transaction of $447.03 to my original payment method.",Billing
240,TCK-3431,Question about business hours,I have some questions about pricing plans and would like to speak with someone from the sales team. How can I get in touch?,General
241,TCK-3068,Overcharged on my November invoice,"Hi, this is Isabella. Hi team, I noticed I was charged $470.37 on my March invoice, which is more than my usual plan cost. Can you please check and correct this?",Billing
242,TCK-3224,Data not loading in the CRM tool,The app freezes completely whenever I try to upload a file larger than 10MB in the mobile app. I have to force close it every time.,Technical
243,TCK-3321,Request for employment verification letter,I have a question about enrolling in the health insurance plan; the deadline is approaching and I'm not sure which plan covers dependents.,HR
244,TCK-3315,Onboarding documents not received,I have a question about enrolling in the health insurance plan; the deadline is approaching and I'm not sure which plan covers dependents.,HR
245,TCK-3291,Question about my leave balance,"I'm expecting a child soon and would like clarification on the parental leave policy, including how much notice I need to give.",HR
246,TCK-3334,Update on my promotion paperwork,"Hi, this is Isabella. Could someone explain how the year-end bonus is calculated? I want to understand the formula used based on performance ratings.",HR
247,TCK-3151,Slow performance on the billing portal,Data I enter on the mobile app isn't syncing with the desktop version of the web dashboard. Changes made on one device don't appear on the other.,Technical
248,TCK-3396,Unable to log hours in the HR portal,I have a question about enrolling in the health insurance plan; the deadline is approaching and I'm not sure which plan covers dependents.,HR
249,TCK-3514,Feedback on recent experience,"Hi, this is Isabella. I'd like to suggest a new feature for the customer portal that would let users export data in bulk; it would save a lot of time.",General
250,TCK-3281,Request for a copy of my offer letter,"Hi, this is Priya. Could you clarify the current remote work policy? I want to confirm how many days per week I'm allowed to work from home.",HR
251,TCK-3095,Need invoice reissued with correct company name,My company name is spelled incorrectly on invoice #51436. Could you reissue it with the correct name for our records?,Billing
252,TCK-3537,Request for a company brochure,I have a question regarding your privacy policy and how customer data is stored and used. Could someone clarify this for me?,General
253,TCK-3472,General compliment for your support team,I'm interested in career opportunities at your company. Could you point me to your current job openings?,General
254,TCK-3509,Question about your return policy,"Hi, I came across your company online and wanted to know more about the services you offer. Could someone share some general information?",General
255,TCK-3122,Downgrade my plan and adjust billing,I would like to downgrade from the premium plan to the basic plan and have my next invoice reflect the new price.,Billing
256,TCK-3489,Inquiry about career opportunities,"Hi, this is Sofia. I have some questions about pricing plans and would like to speak with someone from the sales team. How can I get in touch?",General
257,TCK-3308,Unable to log hours in the HR portal,There seems to be a discrepancy in my attendance records for February; a few days I worked from the office are marked as absent.,HR
258,TCK-3520,Partnership opportunity inquiry,"Hi, this is Sofia. Hi, I came across your company online and wanted to know more about the services you offer. Could someone share some general information?",General
259,TCK-3309,Parental leave policy clarification,"Hi, this is Jordan. Could someone from HR confirm my current leave balance? The number showing in the portal doesn't match what I calculated myself.",HR
260,TCK-3042,Missing invoice for December,"Hi, this is Emma. My card shows a deduction of $431.24 but the payment status in the desktop client still says declined. Please investigate and confirm whether the payment went through.",Billing
261,TCK-3211,Login loop after entering credentials,"After installing the latest update, the reporting module just shows a blank white screen on launch. I've tried reinstalling with no luck.",Technical
262,TCK-3218,Unable to reset my password,Data I enter on the mobile app isn't syncing with the desktop version of the desktop client. Changes made on one device don't appear on the other.,Technical
263,TCK-3331,Issue with attendance records,There seems to be a discrepancy in my attendance records for January; a few days I worked from the office are marked as absent.,HR
264,TCK-3403,Unable to access payslip for March,I'm unable to download my payslip for January from the HR portal; it just shows a loading error every time I click on it.,HR
265,TCK-3282,Question about year-end bonus calculation,"Hi, this is Liam. I recently changed my address and would like to update my personal details on file. Please let me know the process for this.",HR
266,TCK-3381,Unable to log hours in the HR portal,I recently changed my address and would like to update my personal details on file. Please let me know the process for this.,HR
267,TCK-3099,Need invoice reissued with correct company name,The tax charged on invoice #53213 seems higher than usual. Can someone from billing confirm the tax rate applied?,Billing
268,TCK-3361,Request for employment verification letter,Could you clarify the current remote work policy? I want to confirm how many days per week I'm allowed to work from home.,HR
269,TCK-3168,App freezes during file upload,"Hi, this is Jordan. I'm unable to connect to the server from my office network, though it works fine on my home wifi. Getting a connection refused error.",Technical
270,TCK-3418,Suggestion for a new feature,"Hi, this is Anna. Could you send me a company brochure or overview document? I'm putting together a presentation for my manager.",General
271,TCK-3127,Refund request for duplicate payment,"Hi, this is Nina. The currency conversion on my latest invoice looks off; it shows $160.78 instead of the expected amount in USD. Please check.",Billing
272,TCK-3305,Update on my promotion paperwork,"I submitted a reimbursement claim for $477.23 on March 9, but it still shows as pending after two weeks. Could you check the status?",HR
273,TCK-3194,Blank screen after latest update,"Hi, this is Alex. Whenever I try to export my report to CSV in the billing portal, the download fails and I get a generic error message.",Technical
274,TCK-3072,Invoice #63516 shows wrong amount,"Hi, this is Jordan. I upgraded my plan mid-cycle and I'm confused about the prorated charge of $489.04. Could you explain how this was calculated?",Billing
275,TCK-3531,Inquiry about your privacy policy,I'm interested in career opportunities at your company. Could you point me to your current job openings?,General
276,TCK-3154,Notifications not showing up,The integration between the customer portal and our third-party analytics tool stopped working after the recent update; no data is being pulled through.,Technical
277,TCK-3180,App freezes during file upload,"Hi, this is Anna. I requested a password reset link three times but never received the email. Can someone manually reset my password or check the email delivery?",Technical
278,TCK-3530,Request for a company brochure,I have some questions about pricing plans and would like to speak with someone from the sales team. How can I get in touch?,General
279,TCK-3274,Unable to log hours in the HR portal,"Hi, this is Emma. Could someone from HR confirm my current leave balance? The number showing in the portal doesn't match what I calculated myself.",HR
280,TCK-3478,How do I contact the sales team?,"Hi, this is Sofia. I'm interested in learning more about the mobile app and would like to request a demo for my team sometime next week.",General
281,TCK-3358,Issue with reimbursement claim,There seems to be a discrepancy in my attendance records for December; a few days I worked from the office are marked as absent.,HR
282,TCK-3233,Blank screen after latest update,Data I enter on the mobile app isn't syncing with the desktop version of the web dashboard. Changes made on one device don't appear on the other.,Technical
283,TCK-3003,Overcharged on my November invoice,"Hi, this is Priya. My invoice #65296 lists an amount of $102.68, but according to my plan it should only be $234.17. Please review and issue a corrected invoice.",Billing
284,TCK-3153,Getting error 500 when saving changes,"After installing the latest update, the API just shows a blank white screen on launch. I've tried reinstalling with no luck.",Technical
285,TCK-3230,the checkout page crashes on login,Our integration is receiving timeout errors from the API for requests taking longer than 30 seconds. This started around November 13.,Technical
286,TCK-3421,Media inquiry for an interview,"Hi, this is Jordan. I'm interested in career opportunities at your company. Could you point me to your current job openings?",General
287,TCK-3475,General compliment for your support team,"Hi, this is Jordan. I'm interested in learning more about the customer portal and would like to request a demo for my team sometime next week.",General
288,TCK-3064,Overcharged on my August invoice,"Hi, this is Liam. The tax charged on invoice #98815 seems higher than usual. Can someone from billing confirm the tax rate applied?",Billing
289,TCK-3526,Inquiry about career opportunities,"Hi, this is Diego. Could you send me a company brochure or overview document? I'm putting together a presentation for my manager.",General
290,TCK-3406,Media inquiry for an interview,Just wanted to say your support team was fantastic when I reached out last week; they resolved my issue quickly and were very polite.,General
291,TCK-3299,Issue with attendance records,"Hi, this is Victor. I submitted a reimbursement claim for $490.72 on March 19, but it still shows as pending after two weeks. Could you check the status?",HR
292,TCK-3493,Request for a company brochure,"Hi, this is Omar. I recently purchased a product from you and wanted to ask about your return policy in case it doesn't work out.",General
293,TCK-3031,Need invoice reissued with correct company name,I was billed on both June 11 and again three days later for the same subscription period. Please refund one of the charges.,Billing
294,TCK-3532,Request for a company brochure,"Hi, this is Ethan. Could you send me a company brochure or overview document? I'm putting together a presentation for my manager.",General
295,TCK-3388,Requesting update to my personal details,"Hi, this is Zara. I'm unable to download my payslip for March from the HR portal; it just shows a loading error every time I click on it.",HR
296,TCK-3217,Blank screen after latest update,"Hi, this is Aisha. The app freezes completely whenever I try to upload a file larger than 10MB in the web dashboard. I have to force close it every time.",Technical
297,TCK-3338,Question about my leave balance,"I submitted a reimbursement claim for $332.81 on July 17, but it still shows as pending after two weeks. Could you check the status?",HR
298,TCK-3124,Subscription renewed but I cancelled it,The currency conversion on my latest invoice looks off; it shows $372.92 instead of the expected amount in USD. Please check.,Billing
299,TCK-3450,Question about your return policy,"Hi, this is Yusuf. Could you tell me which cities you currently have offices in? I'm curious whether there's a location near me.",General
300,TCK-3312,Question about health insurance enrollment,Could someone from HR confirm my current leave balance? The number showing in the portal doesn't match what I calculated myself.,HR
301,TCK-3015,Credit card declined but money was deducted,I was billed on both December 26 and again three days later for the same subscription period. Please refund one of the charges.,Billing
302,TCK-3012,Subscription renewed but I cancelled it,The tax charged on invoice #67912 seems higher than usual. Can someone from billing confirm the tax rate applied?,Billing
303,TCK-3468,How do I contact the sales team?,"Hi, this is Noah. I'm interested in career opportunities at your company. Could you point me to your current job openings?",General
304,TCK-3390,Request to change my reporting manager on file,Could HR please issue an employment verification letter for me? I need it for a loan application by December 25.,HR
305,TCK-3423,Suggestion for a new feature,"Hi, this is Anna. I'm interested in career opportunities at your company. Could you point me to your current job openings?",General
306,TCK-3160,Slow performance on the desktop client,"Hi, this is Anna. The app freezes completely whenever I try to upload a file larger than 10MB in the CRM tool. I have to force close it every time.",Technical
307,TCK-3283,Clarification on remote work policy,"Hi, this is Noah. I recently changed my address and would like to update my personal details on file. Please let me know the process for this.",HR
308,TCK-3262,Data not loading in the API,I requested a password reset link three times but never received the email. Can someone manually reset my password or check the email delivery?,Technical
309,TCK-3048,Requesting a copy of my receipt,"Hi, this is Ben. I would like to downgrade from the premium plan to the basic plan and have my next invoice reflect the new price.",Billing
310,TCK-3110,Downgrade my plan and adjust billing,"Hi, this is Liam. I cancelled my subscription last month, but I was still billed $13.80 on October 18. Please refund this charge and confirm the cancellation.",Billing
311,TCK-3146,Blank screen after latest update,Two-factor authentication codes aren't being accepted even though I'm entering them correctly and quickly. This is blocking me from logging in.,Technical
312,TCK-3277,Request for employment verification letter,"I'm expecting a child soon and would like clarification on the parental leave policy, including how much notice I need to give.",HR
313,TCK-3436,Partnership opportunity inquiry,I have a general question about how the checkout page works and whether it would be a good fit for a small team like ours.,General
314,TCK-3065,Need invoice reissued with correct company name,"Hi, this is Grace. I was charged twice for the same subscription on May 7. Please refund the duplicate transaction of $201.61 to my original payment method.",Billing
315,TCK-3200,API returning timeout errors,Data I enter on the mobile app isn't syncing with the desktop version of the web dashboard. Changes made on one device don't appear on the other.,Technical
316,TCK-3399,Clarification on remote work policy,Could someone explain how the year-end bonus is calculated? I want to understand the formula used based on performance ratings.,HR
317,TCK-3276,Issue with attendance records,"Hi, this is Mei. I'm expecting a child soon and would like clarification on the parental leave policy, including how much notice I need to give.",HR
318,TCK-3351,Clarification on remote work policy,"I'd like to request a change to my reporting manager on file, since my team structure changed last month.",HR
319,TCK-3359,Update on my promotion paperwork,I'm unable to download my payslip for November from the HR portal; it just shows a loading error every time I click on it.,HR
320,TCK-3155,Cannot connect to the server,"Hi, this is Diego. the billing portal has become extremely slow over the past few days, taking over a minute to load simple pages.",Technical
321,TCK-3102,Credit card declined but money was deducted,"Hi, this is Mohammed. The tax charged on invoice #30308 seems higher than usual. Can someone from billing confirm the tax rate applied?",Billing
322,TCK-3208,Notifications not showing up,"Hi, this is Tara. I'm unable to connect to the server from my office network, though it works fine on my home wifi. Getting a connection refused error.",Technical
323,TCK-3336,Onboarding documents not received,I recently changed my address and would like to update my personal details on file. Please let me know the process for this.,HR
324,TCK-3364,Requesting update to my personal details,"Hi, this is Anna. Could someone from HR confirm my current leave balance? The number showing in the portal doesn't match what I calculated myself.",HR
325,TCK-3456,Question about your return policy,I have some questions about pricing plans and would like to speak with someone from the sales team. How can I get in touch?,General
326,TCK-3320,Requesting update to my personal details,"I was told my promotion was approved last month, but I haven't seen any updates in the system. Could you check on the paperwork status?",HR
327,TCK-3279,Unable to access payslip for December,I recently changed my address and would like to update my personal details on file. Please let me know the process for this.,HR
328,TCK-3461,General inquiry about your services,"Hi, this is Anna. I'd like to suggest a new feature for the checkout page that would let users export data in bulk; it would save a lot of time.",General
329,TCK-3229,Cannot connect to the server,The integration between the mobile app v3.2 and our third-party analytics tool stopped working after the recent update; no data is being pulled through.,Technical
330,TCK-3207,Getting error 500 when saving changes,The integration between the reporting module and our third-party analytics tool stopped working after the recent update; no data is being pulled through.,Technical
331,TCK-3076,Question about proration on my upgrade,I was charged twice for the same subscription on April 11. Please refund the duplicate transaction of $401.18 to my original payment method.,Billing
332,TCK-3466,General question about the reporting module,I wanted to share some feedback about my recent experience with your team; overall it was positive but there is room for improvement in response time.,General
333,TCK-3271,Question about year-end bonus calculation,I'm unable to log my working hours in the HR portal today; the submit button doesn't seem to respond.,HR
334,TCK-3144,Sync issue between mobile and desktop,"After entering my correct login credentials, I get redirected back to the login page in a loop and can never actually get in.",Technical
335,TCK-3005,Unable to update my payment method,"Hi team, I noticed I was charged $361.93 on my May invoice, which is more than my usual plan cost. Can you please check and correct this?",Billing
336,TCK-3177,Login loop after entering credentials,Two-factor authentication codes aren't being accepted even though I'm entering them correctly and quickly. This is blocking me from logging in.,Technical
337,TCK-3161,Sync issue between mobile and desktop,"Hi, this is Mei. I'm unable to connect to the server from my office network, though it works fine on my home wifi. Getting a connection refused error.",Technical
338,TCK-3479,Question about your return policy,Could you send me a company brochure or overview document? I'm putting together a presentation for my manager.,General
339,TCK-3284,Update on my promotion paperwork,"I'm expecting a child soon and would like clarification on the parental leave policy, including how much notice I need to give.",HR
340,TCK-3528,Media inquiry for an interview,I'm a journalist writing about companies in this space and would love to schedule a short interview with someone from your team.,General
341,TCK-3215,Getting error 500 when saving changes,I requested a password reset link three times but never received the email. Can someone manually reset my password or check the email delivery?,Technical
342,TCK-3152,Getting error 500 when saving changes,"Hi, this is Tara. Two-factor authentication codes aren't being accepted even though I'm entering them correctly and quickly. This is blocking me from logging in.",Technical
343,TCK-3267,API returning timeout errors,"Hi, this is Ben. After entering my correct login credentials, I get redirected back to the login page in a loop and can never actually get in.",Technical
344,TCK-3383,Onboarding documents not received,Could HR please issue an employment verification letter for me? I need it for a loan application by June 28.,HR
345,TCK-3535,Suggestion for a new feature,"Hi, this is Ben. I'm interested in learning more about the mobile app and would like to request a demo for my team sometime next week.",General
346,TCK-3030,Refund request for duplicate payment,My card shows a deduction of $308.72 but the payment status in the admin console still says declined. Please investigate and confirm whether the payment went through.,Billing
347,TCK-3523,Request for a company brochure,Our company is exploring a potential partnership with yours. Could you point me to the right person to discuss this further?,General
348,TCK-3505,Question about your return policy,"Hi, this is Jordan. Could you let me know your business hours and whether you're open on weekends? I'm trying to plan a call with your team.",General
349,TCK-3329,Question about year-end bonus calculation,Could someone explain how the year-end bonus is calculated? I want to understand the formula used based on performance ratings.,HR
350,TCK-3339,Clarification on remote work policy,Could HR please issue an employment verification letter for me? I need it for a loan application by January 1.,HR
351,TCK-3019,Downgrade my plan and adjust billing,"I paid my bill on time via the billing portal, but I was still charged a late fee of $344.15. Please remove this fee from my account.",Billing
352,TCK-3202,Sync issue between mobile and desktop,"Hi, this is Victor. Every time I try to log into the CRM tool, the app crashes immediately after entering my credentials. This started after the update on July 10.",Technical
353,TCK-3032,Missing invoice for January,"Hi, this is Ethan. I paid my bill on time via the API, but I was still charged a late fee of $495.83. Please remove this fee from my account.",Billing
354,TCK-3223,Unable to reset my password,"Hi, this is Mohammed. I requested a password reset link three times but never received the email. Can someone manually reset my password or check the email delivery?",Technical
355,TCK-3085,Late fee charged despite on-time payment,"Hi, this is Layla. My company name is spelled incorrectly on invoice #45054. Could you reissue it with the correct name for our records?",Billing
356,TCK-3206,Sync issue between mobile and desktop,The integration between the payment gateway and our third-party analytics tool stopped working after the recent update; no data is being pulled through.,Technical
357,TCK-3162,App freezes during file upload,"Hi, this is Ethan. I keep getting a 500 internal server error whenever I try to save changes in the mobile app. This happens consistently, even after restarting the app.",Technical
358,TCK-3174,Notifications not showing up,"I keep getting a 500 internal server error whenever I try to save changes in the CRM tool. This happens consistently, even after restarting the app.",Technical
359,TCK-3386,Question about year-end bonus calculation,"I submitted a reimbursement claim for $358.66 on October 2, but it still shows as pending after two weeks. Could you check the status?",HR
360,TCK-3036,Overcharged on my February invoice,I have not received an invoice for July yet. Could you please send it to my registered email as soon as possible?,Billing
361,TCK-3368,Question about my leave balance,"Hi, this is Omar. I was told my promotion was approved last month, but I haven't seen any updates in the system. Could you check on the paperwork status?",HR
362,TCK-3006,Invoice #81066 shows wrong amount,"Hi, this is Emma. Hi team, I noticed I was charged $34.06 on my December invoice, which is more than my usual plan cost. Can you please check and correct this?",Billing
363,TCK-3075,Invoice #22015 shows wrong amount,"I cancelled my subscription last month, but I was still billed $332.76 on April 21. Please refund this charge and confirm the cancellation.",Billing
364,TCK-3503,Media inquiry for an interview,Could you let me know your business hours and whether you're open on weekends? I'm trying to plan a call with your team.,General
365,TCK-3016,Billed twice this month,"Hi, this is Victor. I tried updating my card details in the billing portal but it keeps failing with an error. Can someone assist me in updating my payment method?",Billing
366,TCK-3413,Question about company locations,I'd like to suggest a new feature for the billing portal that would let users export data in bulk; it would save a lot of time.,General
367,TCK-3350,Issue with reimbursement claim,I'm unable to log my working hours in the HR portal today; the submit button doesn't seem to respond.,HR
368,TCK-3265,Notifications not showing up,"Hi, this is Alex. Our integration is receiving timeout errors from the API for requests taking longer than 30 seconds. This started around February 13.",Technical
369,TCK-3430,Inquiry about career opportunities,"Hi, this is Priya. Our company is exploring a potential partnership with yours. Could you point me to the right person to discuss this further?",General
370,TCK-3210,Notifications not showing up,Two-factor authentication codes aren't being accepted even though I'm entering them correctly and quickly. This is blocking me from logging in.,Technical
371,TCK-3212,Unable to reset my password,"Hi, this is Priya. Every time I try to log into the payment gateway, the app crashes immediately after entering my credentials. This started after the update on May 25.",Technical
372,TCK-3220,Getting error 500 when saving changes,"Hi, this is Tara. Whenever I try to export my report to CSV in the mobile app, the download fails and I get a generic error message.",Technical
373,TCK-3398,Onboarding documents not received,"I'd like to request a change to my reporting manager on file, since my team structure changed last month.",HR
374,TCK-3455,Question about your return policy,I'm interested in learning more about the payment gateway and would like to request a demo for my team sometime next week.,General
375,TCK-3216,API returning timeout errors,"Hi, this is Jordan. After installing the latest update, the billing portal just shows a blank white screen on launch. I've tried reinstalling with no luck.",Technical
376,TCK-3272,Request for employment verification letter,Could someone explain how the year-end bonus is calculated? I want to understand the formula used based on performance ratings.,HR
377,TCK-3465,Feedback on recent experience,Our company is exploring a potential partnership with yours. Could you point me to the right person to discuss this further?,General
378,TCK-3392,Question about year-end bonus calculation,"Hi, this is Ethan. I have a question about enrolling in the health insurance plan; the deadline is approaching and I'm not sure which plan covers dependents.",HR
379,TCK-3341,Question about my leave balance,I'm unable to log my working hours in the HR portal today; the submit button doesn't seem to respond.,HR
380,TCK-3416,Media inquiry for an interview,I have a question regarding your privacy policy and how customer data is stored and used. Could someone clarify this for me?,General
381,TCK-3504,Question about company locations,I recently purchased a product from you and wanted to ask about your return policy in case it doesn't work out.,General
382,TCK-3446,Inquiry about career opportunities,I'd like to suggest a new feature for the CRM tool that would let users export data in bulk; it would save a lot of time.,General
383,TCK-3367,Question about health insurance enrollment,"Hi, this is Jordan. I have a question about enrolling in the health insurance plan; the deadline is approaching and I'm not sure which plan covers dependents.",HR
384,TCK-3191,Login loop after entering credentials,"Hi, this is Chloe. Data I enter on the mobile app isn't syncing with the desktop version of the web dashboard. Changes made on one device don't appear on the other.",Technical
385,TCK-3442,Request for a company brochure,"Hi, this is Wei. Could you tell me which cities you currently have offices in? I'm curious whether there's a location near me.",General
386,TCK-3044,Missing invoice for August,"Hi, this is Ethan. My invoice #17026 lists an amount of $42.73, but according to my plan it should only be $327.87. Please review and issue a corrected invoice.",Billing
387,TCK-3088,Tax amount seems wrong on invoice #64287,I was billed on both April 25 and again three days later for the same subscription period. Please refund one of the charges.,Billing
388,TCK-3259,Sync issue between mobile and desktop,"Hi, this is Anna. I stopped receiving push notifications from the desktop client about a week ago, even though notifications are enabled in settings.",Technical
389,TCK-3147,App freezes during file upload,"Hi, this is Anna. Every time I try to log into the billing portal, the app crashes immediately after entering my credentials. This started after the update on April 25.",Technical
390,TCK-3519,General inquiry about your services,I have a general question about how the mobile app works and whether it would be a good fit for a small team like ours.,General
391,TCK-3243,Cannot connect to the server,"I stopped receiving push notifications from the desktop client about a week ago, even though notifications are enabled in settings.",Technical
392,TCK-3126,Currency conversion looks incorrect on invoice,I would like to downgrade from the premium plan to the basic plan and have my next invoice reflect the new price.,Billing
393,TCK-3004,Downgrade my plan and adjust billing,I tried updating my card details in the CRM tool but it keeps failing with an error. Can someone assist me in updating my payment method?,Billing
394,TCK-3521,General inquiry about your services,I'm a journalist writing about companies in this space and would love to schedule a short interview with someone from your team.,General
395,TCK-3432,Requesting a product demo,Could you let me know your business hours and whether you're open on weekends? I'm trying to plan a call with your team.,General
396,TCK-3104,Late fee charged despite on-time payment,My card shows a deduction of $373.30 but the payment status in the checkout page still says declined. Please investigate and confirm whether the payment went through.,Billing
397,TCK-3538,Requesting a product demo,I'm interested in career opportunities at your company. Could you point me to your current job openings?,General
398,TCK-3071,Currency conversion looks incorrect on invoice,"Hi, this is Kevin. My invoice #52992 lists an amount of $246.03, but according to my plan it should only be $322.71. Please review and issue a corrected invoice.",Billing
399,TCK-3172,Blank screen after latest update,"I'm unable to connect to the server from my office network, though it works fine on my home wifi. Getting a connection refused error.",Technical
400,TCK-3187,Cannot connect to the server,None of my data is loading in the API today; the dashboard just shows a spinning loader indefinitely.,Technical
401,TCK-3332,Question about year-end bonus calculation,"Hi, this is Isabella. I'm unable to download my payslip for September from the HR portal; it just shows a loading error every time I click on it.",HR
402,TCK-3079,Need invoice reissued with correct company name,"I paid my bill on time via the web dashboard, but I was still charged a late fee of $356.13. Please remove this fee from my account.",Billing
403,TCK-3051,Credit card declined but money was deducted,I would like to downgrade from the premium plan to the basic plan and have my next invoice reflect the new price.,Billing
404,TCK-3376,Question about my leave balance,"Hi, this is Noah. I have a question about enrolling in the health insurance plan; the deadline is approaching and I'm not sure which plan covers dependents.",HR
405,TCK-3256,Data not loading in the mobile app v3.2,Two-factor authentication codes aren't being accepted even though I'm entering them correctly and quickly. This is blocking me from logging in.,Technical
406,TCK-3419,Feedback on recent experience,"Hi, I came across your company online and wanted to know more about the services you offer. Could someone share some general information?",General
407,TCK-3391,Clarification on remote work policy,There seems to be a discrepancy in my attendance records for September; a few days I worked from the office are marked as absent.,HR
408,TCK-3227,Integration with third-party tool broken,Data I enter on the mobile app isn't syncing with the desktop version of the mobile app. Changes made on one device don't appear on the other.,Technical
409,TCK-3363,Issue with attendance records,I recently changed my address and would like to update my personal details on file. Please let me know the process for this.,HR
410,TCK-3150,Blank screen after latest update,The integration between the payment gateway and our third-party analytics tool stopped working after the recent update; no data is being pulled through.,Technical
411,TCK-3373,Unable to access payslip for December,"Hi, this is Emma. I joined the company last week but still haven't received my onboarding documents. Could someone resend them to my email?",HR
412,TCK-3486,Question about your return policy,I recently purchased a product from you and wanted to ask about your return policy in case it doesn't work out.,General
413,TCK-3186,Data not loading in the mobile app,"Every time I try to log into the admin console, the app crashes immediately after entering my credentials. This started after the update on August 5.",Technical
414,TCK-3106,Question about proration on my upgrade,"Hi, this is Carlos. My card shows a deduction of $195.70 but the payment status in the web dashboard still says declined. Please investigate and confirm whether the payment went through.",Billing
415,TCK-3061,Billed twice this month,I was charged twice for the same subscription on August 28. Please refund the duplicate transaction of $282.04 to my original payment method.,Billing
416,TCK-3323,Question about year-end bonus calculation,"Hi, this is Emma. I'd like to request a change to my reporting manager on file, since my team structure changed last month.",HR
417,TCK-3086,Billed twice this month,I would like to downgrade from the premium plan to the basic plan and have my next invoice reflect the new price.,Billing
418,TCK-3435,General question about the reporting module,I have some questions about pricing plans and would like to speak with someone from the sales team. How can I get in touch?,General
419,TCK-3260,Data not loading in the admin console,"I'm unable to connect to the server from my office network, though it works fine on my home wifi. Getting a connection refused error.",Technical
420,TCK-3525,Question about business hours,"Hi, this is Alex. Could you send me a company brochure or overview document? I'm putting together a presentation for my manager.",General
